Keyword,Category
lidl,Food & Groceries
k-market,Food & Groceries
k-city,Food & Groceries
k-super,Food & Groceries
s-market,Food & Groceries
prisma,Food & Groceries
normal,Food & Groceries
viva,Food & Groceries
golong,Food & Groceries
alko,Dining Out
sushi,Dining Out
noodle,Dining Out
restaurant,Dining Out
cafe,Dining Out
bangkok,Dining Out
ravintola,Dining Out
thai,Dining Out
hoa sen,Dining Out
khang,Dining Out
vfam suan,Dining Out
ahaan,Dining Out
mrdon,Dining Out
seastea,Dining Out
av thai,Dining Out
hsl,Transport
aimo,Transport
parking,Transport
easypark,Transport
finnair,Travel
airbnb,Travel
hotel,Travel
netflix,Subscriptions
spotify,Subscriptions
google,Subscriptions
apple,Subscriptions
kraken,Investments
nordea,Investments
op-amerikka,Investments
as oy,Housing
vuokra,Housing
asunto,Housing
energia,Utilities
sähköverkko,Utilities
lienfath,Shopping
clas ohlson,Shopping
paypal,Shopping
jk shop,Shopping
jep sport,Shopping
sahkopyora,Shopping
sulkakauppa,Shopping
aurorasulka,Shopping
forever,Shopping
rituals,Shopping
puls,Shopping
yeppo,Shopping
verkkokauppa,Shopping
kortmart,Shopping
puuilo,Shopping
alensa,Shopping
hammas,Healthcare
apteekki,Healthcare
liikuntapuisto,Healthcare
kuntokeskus,Healthcare
vare,Fitness
paytrail,Entertainment
puhti,Entertainment
arena,Entertainment
jasenyys,Memberships
medlemsavgift,Memberships
training systems,Education
pohjola,Insurance
vakuutus,Insurance
sos-lapsi,Charity
punainen risti,Charity
laakarit,Charity
huu ngoc,Dining Out
fab suan,Dining Out
fam suan,Dining Out
abc,Food & Groceries
vare,Entertainment
avolta,Travel
ptl,Memberships
amex,Finance
american express,Finance
american,Finance
monthly fee,Finance
deposit,Finance
fi73,Finance
fi27,Finance
lääkärit ilman rajoja,Charity
väre,Fitness
rajoja,Charity
sepa,Transfers
kela,Income — Benefits
tekai,Income — Salary
dividend,Income — Dividends
siirto,Transfers
